,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
96,09/09/2020,9,9,2020,26,3,Afghanistan,AF,AFG,38041757.0,Asia
97,08/09/2020,8,9,2020,96,3,Afghanistan,AF,AFG,38041757.0,Asia
98,07/09/2020,7,9,2020,74,2,Afghanistan,AF,AFG,38041757.0,Asia
99,06/09/2020,6,9,2020,20,0,Afghanistan,AF,AFG,38041757.0,Asia
100,05/09/2020,5,9,2020,16,0,Afghanistan,AF,AFG,38041757.0,Asia
101,04/09/2020,4,9,2020,45,1,Afghanistan,AF,AFG,38041757.0,Asia
102,03/09/2020,3,9,2020,38,3,Afghanistan,AF,AFG,38041757.0,Asia
103,02/09/2020,2,9,2020,9,0,Afghanistan,AF,AFG,38041757.0,Asia
104,01/09/2020,1,9,2020,34,4,Afghanistan,AF,AFG,38041757.0,Asia
105,31/08/2020,31,8,2020,19,0,Afghanistan,AF,AFG,38041757.0,Asia
106,30/08/2020,30,8,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
107,29/08/2020,29,8,2020,11,1,Afghanistan,AF,AFG,38041757.0,Asia
108,28/08/2020,28,8,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
109,27/08/2020,27,8,2020,55,4,Afghanistan,AF,AFG,38041757.0,Asia
110,26/08/2020,26,8,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia
111,25/08/2020,25,8,2020,71,10,Afghanistan,AF,AFG,38041757.0,Asia
112,24/08/2020,24,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
113,23/08/2020,23,8,2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia
114,22/08/2020,22,8,2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia
115,21/08/2020,21,8,2020,97,2,Afghanistan,AF,AFG,38041757.0,Asia
116,20/08/2020,20,8,2020,160,8,Afghanistan,AF,AFG,38041757.0,Asia
117,19/08/2020,19,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
118,18/08/2020,18,8,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
119,17/08/2020,17,8,2020,45,5,Afghanistan,AF,AFG,38041757.0,Asia
120,16/08/2020,16,8,2020,120,7,Afghanistan,AF,AFG,38041757.0,Asia
121,15/08/2020,15,8,2020,7,0,Afghanistan,AF,AFG,38041757.0,Asia
122,14/08/2020,14,8,2020,79,9,Afghanistan,AF,AFG,38041757.0,Asia
123,13/08/2020,13,8,2020,76,10,Afghanistan,AF,AFG,38041757.0,Asia
124,12/08/2020,12,8,2020,215,32,Afghanistan,AF,AFG,38041757.0,Asia
125,11/08/2020,11,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
126,10/08/2020,10,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
127,09/08/2020,9,8,2020,39,5,Afghanistan,AF,AFG,38041757.0,Asia
128,08/08/2020,8,8,2020,78,9,Afghanistan,AF,AFG,38041757.0,Asia
129,07/08/2020,7,8,2020,41,0,Afghanistan,AF,AFG,38041757.0,Asia
130,06/08/2020,6,8,2020,67,4,Afghanistan,AF,AFG,38041757.0,Asia
131,05/08/2020,5,8,2020,82,6,Afghanistan,AF,AFG,38041757.0,Asia
132,04/08/2020,4,8,2020,37,4,Afghanistan,AF,AFG,38041757.0,Asia
133,03/08/2020,3,8,2020,0,1,Afghanistan,AF,AFG,38041757.0,Asia
134,02/08/2020,2,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
135,01/08/2020,1,8,2020,168,12,Afghanistan,AF,AFG,38041757.0,Asia
136,31/07/2020,31,7,2020,71,0,Afghanistan,AF,AFG,38041757.0,Asia
137,30/07/2020,30,7,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
138,29/07/2020,29,7,2020,103,1,Afghanistan,AF,AFG,38041757.0,Asia
139,28/07/2020,28,7,2020,105,1,Afghanistan,AF,AFG,38041757.0,Asia
140,27/07/2020,27,7,2020,106,10,Afghanistan,AF,AFG,38041757.0,Asia
141,26/07/2020,26,7,2020,121,13,Afghanistan,AF,AFG,38041757.0,Asia
142,25/07/2020,25,7,2020,108,35,Afghanistan,AF,AFG,38041757.0,Asia
143,24/07/2020,24,7,2020,13,0,Afghanistan,AF,AFG,38041757.0,Asia
144,23/07/2020,23,7,2020,188,21,Afghanistan,AF,AFG,38041757.0,Asia
145,22/07/2020,22,7,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia
146,21/07/2020,21,7,2020,140,5,Afghanistan,AF,AFG,38041757.0,Asia
147,20/07/2020,20,7,2020,174,17,Afghanistan,AF,AFG,38041757.0,Asia
148,19/07/2020,19,7,2020,12,17,Afghanistan,AF,AFG,38041757.0,Asia
149,18/07/2020,18,7,2020,219,32,Afghanistan,AF,AFG,38041757.0,Asia
150,17/07/2020,17,7,2020,76,21,Afghanistan,AF,AFG,38041757.0,Asia
151,16/07/2020,16,7,2020,254,49,Afghanistan,AF,AFG,38041757.0,Asia
152,15/07/2020,15,7,2020,285,33,Afghanistan,AF,AFG,38041757.0,Asia
153,14/07/2020,14,7,2020,4,2,Afghanistan,AF,AFG,38041757.0,Asia
154,13/07/2020,13,7,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
155,12/07/2020,12,7,2020,85,16,Afghanistan,AF,AFG,38041757.0,Asia
156,11/07/2020,11,7,2020,458,37,Afghanistan,AF,AFG,38041757.0,Asia
157,10/07/2020,10,7,2020,255,20,Afghanistan,AF,AFG,38041757.0,Asia
